SSBID1000M,pop_tot,year,easting,northing,base_station
22570006621000,14,2018,257500,6621500,10
22570006622000,43,2018,257500,6622500,10
22570006623000,16,2018,257500,6623500,10
22570006624000,81,2018,257500,6624500,10
22570006626000,8,2018,257500,6626500,10
22570006628000,39,2018,257500,6628500,10
22570006629000,17,2018,257500,6629500,10
22570006630000,2,2018,257500,6630500,10
22570006631000,14,2018,257500,6631500,10
22570006632000,32,2018,257500,6632500,10
22570006633000,22,2018,257500,6633500,10
22570006634000,78,2018,257500,6634500,10
22570006635000,19,2018,257500,6635500,10
22570006636000,4,2018,257500,6636500,10
22570006637000,127,2018,257500,6637500,10
22570006638000,13,2018,257500,6638500,10
22570006639000,44,2018,257500,6639500,10
22570006640000,195,2018,257500,6640500,10
22570006641000,136,2018,257500,6641500,10
22570006642000,1149,2018,257500,6642500,10
22570006643000,2649,2018,257500,6643500,10
22570006644000,614,2018,257500,6644500,10
22570006647000,11,2018,257500,6647500,14
22570006648000,24,2018,257500,6648500,14
22570006649000,9,2018,257500,6649500,14
22570006650000,3701,2018,257500,6650500,14
22570006651000,3369,2018,257500,6651500,14
22570006652000,2365,2018,257500,6652500,14
22570006653000,4609,2018,257500,6653500,14
22570006654000,3878,2018,257500,6654500,14
22570006655000,2158,2018,257500,6655500,14
22570006656000,2017,2018,257500,6656500,14
22570006657000,480,2018,257500,6657500,14
22570006660000,2,2018,257500,6660500,14
22570006662000,9,2018,257500,6662500,14
22580006604000,15,2018,258500,6604500,10
22580006605000,13,2018,258500,6605500,10
22580006606000,3,2018,258500,6606500,10
22580006607000,113,2018,258500,6607500,10
22580006608000,24,2018,258500,6608500,10
22580006609000,14,2018,258500,6609500,10
22580006610000,38,2018,258500,6610500,10
22580006611000,12,2018,258500,6611500,10
22580006612000,8,2018,258500,6612500,10
22580006613000,450,2018,258500,6613500,10
22580006614000,313,2018,258500,6614500,10
22580006615000,28,2018,258500,6615500,10
22580006616000,13,2018,258500,6616500,10
22580006617000,10,2018,258500,6617500,10
22580006618000,17,2018,258500,6618500,10
22580006619000,21,2018,258500,6619500,10
22580006620000,5,2018,258500,6620500,10
22580006621000,107,2018,258500,6621500,10
22580006622000,14,2018,258500,6622500,10
22580006623000,27,2018,258500,6623500,10
22580006624000,170,2018,258500,6624500,10
22580006625000,46,2018,258500,6625500,10
22580006626000,12,2018,258500,6626500,10
22580006628000,30,2018,258500,6628500,10
22580006629000,46,2018,258500,6629500,10
22580006630000,6,2018,258500,6630500,10
22580006631000,121,2018,258500,6631500,10
22580006632000,19,2018,258500,6632500,10
22580006633000,103,2018,258500,6633500,10
22580006634000,170,2018,258500,6634500,10
22580006635000,83,2018,258500,6635500,10
22580006636000,141,2018,258500,6636500,10
22580006637000,201,2018,258500,6637500,10
22580006638000,167,2018,258500,6638500,10
22580006639000,232,2018,258500,6639500,10
22580006640000,1289,2018,258500,6640500,10
22580006641000,1526,2018,258500,6641500,10
22580006642000,378,2018,258500,6642500,10
22580006643000,2,2018,258500,6643500,10
22580006647000,405,2018,258500,6647500,14
22580006648000,2494,2018,258500,6648500,14
22580006649000,50,2018,258500,6649500,14
22580006650000,2408,2018,258500,6650500,14
22580006651000,5826,2018,258500,6651500,14
22580006652000,2705,2018,258500,6652500,14
22580006653000,3107,2018,258500,6653500,14
22580006654000,3064,2018,258500,6654500,14
22580006655000,317,2018,258500,6655500,14
22580006656000,588,2018,258500,6656500,14
22580006657000,61,2018,258500,6657500,14
22580006659000,3,2018,258500,6659500,14
22580006661000,1,2018,258500,6661500,14
22580006662000,7,2018,258500,6662500,14
22580006667000,5,2018,258500,6667500,14
22590006603000,4,2018,259500,6603500,10
22590006604000,5,2018,259500,6604500,10
22590006605000,28,2018,259500,6605500,10
22590006606000,55,2018,259500,6606500,10
22590006607000,238,2018,259500,6607500,10
22590006608000,629,2018,259500,6608500,10
22590006609000,15,2018,259500,6609500,10
22590006610000,122,2018,259500,6610500,10
22590006611000,161,2018,259500,6611500,10
22590006612000,23,2018,259500,6612500,10
22590006613000,29,2018,259500,6613500,10
22590006614000,25,2018,259500,6614500,10
22590006615000,342,2018,259500,6615500,10
22590006616000,395,2018,259500,6616500,10
22590006617000,109,2018,259500,6617500,10
22590006618000,12,2018,259500,6618500,10
22590006619000,8,2018,259500,6619500,10
22590006620000,15,2018,259500,6620500,10
22590006621000,120,2018,259500,6621500,10
22590006622000,28,2018,259500,6622500,10
22590006623000,74,2018,259500,6623500,10
22590006624000,59,2018,259500,6624500,10
22590006625000,18,2018,259500,6625500,10
22590006627000,12,2018,259500,6627500,10
22590006628000,48,2018,259500,6628500,10
22590006629000,29,2018,259500,6629500,10
22590006630000,35,2018,259500,6630500,10
22590006631000,104,2018,259500,6631500,10
22590006632000,22,2018,259500,6632500,10
22590006633000,67,2018,259500,6633500,10
22590006634000,98,2018,259500,6634500,10
