SSBID1000M,easting,northing,Join_Count,TARGET_FID,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
22560006673000,256500,6673500,1,1157,2256000,6673000,256500,6673500,4000,1000000,301,3
22570006673000,257500,6673500,1,1158,2257000,6673000,257500,6673500,4000,1000000,301,3
22580006673000,258500,6673500,1,1159,2258000,6673000,258500,6673500,4000,1000000,301,3
22590006673000,259500,6673500,1,1160,2259000,6673000,259500,6673500,4000,1000000,301,3
22600006673000,260500,6673500,1,1161,2260000,6673000,260500,6673500,4000,1000000,301,3
22560006674000,256500,6674500,1,1207,2256000,6674000,256500,6674500,4000,1000000,301,3
22490006627000,249500,6627500,1,1400,2249000,6627000,249500,6627500,4000,1000000,215,2
22490006628000,249500,6628500,1,1450,2249000,6628000,249500,6628500,4000,1000000,215,2
22490006632000,249500,6632500,1,1650,2249000,6632000,249500,6632500,4000,1000000,215,2
22400006636000,240500,6636500,1,1841,2240000,6636000,240500,6636500,4000,1000000,220,2
22420006636000,242500,6636500,1,1843,2242000,6636000,242500,6636500,4000,1000000,220,2
22480006636000,248500,6636500,1,1849,2248000,6636000,248500,6636500,4000,1000000,220,2
22490006636000,249500,6636500,1,1850,2249000,6636000,249500,6636500,4000,1000000,220,2
22390006637000,239500,6637500,1,1890,2239000,6637000,239500,6637500,4000,1000000,220,2
22400006637000,240500,6637500,1,1891,2240000,6637000,240500,6637500,4000,1000000,220,2
22480006637000,248500,6637500,1,1899,2248000,6637000,248500,6637500,4000,1000000,220,2
22490006637000,249500,6637500,1,1900,2249000,6637000,249500,6637500,4000,1000000,220,2
22390006638000,239500,6638500,1,1940,2239000,6638000,239500,6638500,4000,1000000,220,2
22480006638000,248500,6638500,1,1949,2248000,6638000,248500,6638500,4000,1000000,220,2
22490006638000,249500,6638500,1,1950,2249000,6638000,249500,6638500,4000,1000000,220,2
22420006639000,242500,6639500,1,1993,2242000,6639000,242500,6639500,4000,1000000,220,2
22480006639000,248500,6639500,1,1999,2248000,6639000,248500,6639500,4000,1000000,220,2
22490006639000,249500,6639500,1,2000,2249000,6639000,249500,6639500,4000,1000000,220,2
22470006640000,247500,6640500,1,2048,2247000,6640000,247500,6640500,4000,1000000,220,2
22480006640000,248500,6640500,1,2049,2248000,6640000,248500,6640500,4000,1000000,220,2
22490006640000,249500,6640500,1,2050,2249000,6640000,249500,6640500,4000,1000000,220,2
22490006641000,249500,6641500,1,2100,2249000,6641000,249500,6641500,4000,1000000,220,2
22490006642000,249500,6642500,1,2150,2249000,6642000,249500,6642500,4000,1000000,220,2
22400006643000,240500,6643500,1,2191,2240000,6643000,240500,6643500,4000,1000000,220,2
22410006643000,241500,6643500,1,2192,2241000,6643000,241500,6643500,4000,1000000,220,2
22480006643000,248500,6643500,1,2199,2248000,6643000,248500,6643500,4000,1000000,220,2
22390006644000,239500,6644500,1,2240,2239000,6644000,239500,6644500,4000,1000000,220,2
22400006644000,240500,6644500,1,2241,2240000,6644000,240500,6644500,4000,1000000,220,2
22410006644000,241500,6644500,1,2242,2241000,6644000,241500,6644500,4000,1000000,220,2
22390006645000,239500,6645500,1,2290,2239000,6645000,239500,6645500,4000,1000000,220,2
22400006645000,240500,6645500,1,2291,2240000,6645000,240500,6645500,4000,1000000,220,2
22410006645000,241500,6645500,1,2292,2241000,6645000,241500,6645500,4000,1000000,220,2
22420006645000,242500,6645500,1,2293,2242000,6645000,242500,6645500,4000,1000000,220,2
22440006645000,244500,6645500,1,2295,2244000,6645000,244500,6645500,4000,1000000,220,2
22390006646000,239500,6646500,1,2340,2239000,6646000,239500,6646500,4000,1000000,220,2
22400006646000,240500,6646500,1,2341,2240000,6646000,240500,6646500,4000,1000000,220,2
22420006646000,242500,6646500,1,2343,2242000,6646000,242500,6646500,4000,1000000,220,2
22440006646000,244500,6646500,1,2345,2244000,6646000,244500,6646500,4000,1000000,220,2
22400006647000,240500,6647500,1,2391,2240000,6647000,240500,6647500,4000,1000000,220,2
22410006647000,241500,6647500,1,2392,2241000,6647000,241500,6647500,4000,1000000,220,2
22420006647000,242500,6647500,1,2393,2242000,6647000,242500,6647500,4000,1000000,219,2
22410006648000,241500,6648500,1,2442,2241000,6648000,241500,6648500,4000,1000000,220,2
22420006648000,242500,6648500,1,2443,2242000,6648000,242500,6648500,4000,1000000,219,2
22430006648000,243500,6648500,1,2444,2243000,6648000,243500,6648500,4000,1000000,219,2
22410006649000,241500,6649500,1,2492,2241000,6649000,241500,6649500,4000,1000000,219,2
22420006649000,242500,6649500,1,2493,2242000,6649000,242500,6649500,4000,1000000,219,2
22430006649000,243500,6649500,1,2494,2243000,6649000,243500,6649500,4000,1000000,219,2
22440006649000,244500,6649500,1,2495,2244000,6649000,244500,6649500,4000,1000000,219,2
22450006649000,245500,6649500,1,2496,2245000,6649000,245500,6649500,4000,1000000,219,2
22420006650000,242500,6650500,1,43,2242000,6650000,242500,6650500,4000,1000000,219,2
22430006650000,243500,6650500,1,44,2243000,6650000,243500,6650500,4000,1000000,219,2
22420006651000,242500,6651500,1,93,2242000,6651000,242500,6651500,4000,1000000,219,2
22430006651000,243500,6651500,1,94,2243000,6651000,243500,6651500,4000,1000000,219,2
22440006651000,244500,6651500,1,95,2244000,6651000,244500,6651500,4000,1000000,219,2
22490006651000,249500,6651500,1,100,2249000,6651000,249500,6651500,4000,1000000,219,2
22410006652000,241500,6652500,1,142,2241000,6652000,241500,6652500,4000,1000000,219,2
22420006652000,242500,6652500,1,143,2242000,6652000,242500,6652500,4000,1000000,219,2
22430006652000,243500,6652500,1,144,2243000,6652000,243500,6652500,4000,1000000,219,2
22410006653000,241500,6653500,1,192,2241000,6653000,241500,6653500,4000,1000000,219,2
22420006653000,242500,6653500,1,193,2242000,6653000,242500,6653500,4000,1000000,219,2
22400006654000,240500,6654500,1,241,2240000,6654000,240500,6654500,4000,1000000,219,2
22410006654000,241500,6654500,1,242,2241000,6654000,241500,6654500,4000,1000000,219,2
22450006654000,245500,6654500,1,246,2245000,6654000,245500,6654500,4000,1000000,219,2
22460006654000,246500,6654500,1,247,2246000,6654000,246500,6654500,4000,1000000,219,2
22420006655000,242500,6655500,1,293,2242000,6655000,242500,6655500,4000,1000000,219,2
22430006655000,243500,6655500,1,294,2243000,6655000,243500,6655500,4000,1000000,219,2
22440006655000,244500,6655500,1,295,2244000,6655000,244500,6655500,4000,1000000,219,2
22450006655000,245500,6655500,1,296,2245000,6655000,245500,6655500,4000,1000000,219,2
22420006656000,242500,6656500,1,343,2242000,6656000,242500,6656500,4000,1000000,219,2
22430006656000,243500,6656500,1,344,2243000,6656000,243500,6656500,4000,1000000,219,2
22440006656000,244500,6656500,1,345,2244000,6656000,244500,6656500,4000,1000000,219,2
22450006656000,245500,6656500,1,346,2245000,6656000,245500,6656500,4000,1000000,219,2
22490006656000,249500,6656500,1,350,2249000,6656000,249500,6656500,4000,1000000,219,2
22420006657000,242500,6657500,1,393,2242000,6657000,242500,6657500,4000,1000000,219,2
22430006657000,243500,6657500,1,394,2243000,6657000,243500,6657500,4000,1000000,219,2
22440006657000,244500,6657500,1,395,2244000,6657000,244500,6657500,4000,1000000,219,2
22450006657000,245500,6657500,1,396,2245000,6657000,245500,6657500,4000,1000000,219,2
22480006657000,248500,6657500,1,399,2248000,6657000,248500,6657500,4000,1000000,219,2
22440006658000,244500,6658500,1,445,2244000,6658000,244500,6658500,4000,1000000,219,2
22450006658000,245500,6658500,1,446,2245000,6658000,245500,6658500,4000,1000000,219,2
22460006658000,246500,6658500,1,447,2246000,6658000,246500,6658500,4000,1000000,219,2
22480006658000,248500,6658500,1,449,2248000,6658000,248500,6658500,4000,1000000,219,2
