SSBID1000M,pop_tot,year,easting,northing
22580006605000,12,2015,258500.0,6605500.0
22580006606000,3,2015,258500.0,6606500.0
22580006607000,112,2015,258500.0,6607500.0
22580006608000,26,2015,258500.0,6608500.0
22580006609000,9,2015,258500.0,6609500.0
22580006610000,35,2015,258500.0,6610500.0
22580006611000,13,2015,258500.0,6611500.0
22580006612000,8,2015,258500.0,6612500.0
22580006613000,452,2015,258500.0,6613500.0
22580006614000,221,2015,258500.0,6614500.0
22580006615000,32,2015,258500.0,6615500.0
22580006616000,16,2015,258500.0,6616500.0
22580006617000,11,2015,258500.0,6617500.0
22580006618000,21,2015,258500.0,6618500.0
22580006619000,22,2015,258500.0,6619500.0
22580006620000,5,2015,258500.0,6620500.0
22580006621000,101,2015,258500.0,6621500.0
22580006622000,21,2015,258500.0,6622500.0
22580006623000,28,2015,258500.0,6623500.0
22580006624000,156,2015,258500.0,6624500.0
22580006625000,42,2015,258500.0,6625500.0
22580006626000,14,2015,258500.0,6626500.0
22580006628000,24,2015,258500.0,6628500.0
22580006629000,44,2015,258500.0,6629500.0
22580006630000,9,2015,258500.0,6630500.0
22580006631000,108,2015,258500.0,6631500.0
22580006632000,26,2015,258500.0,6632500.0
22580006633000,84,2015,258500.0,6633500.0
22580006634000,177,2015,258500.0,6634500.0
22580006635000,88,2015,258500.0,6635500.0
22580006636000,151,2015,258500.0,6636500.0
22580006637000,190,2015,258500.0,6637500.0
22580006638000,167,2015,258500.0,6638500.0
22580006639000,246,2015,258500.0,6639500.0
22580006640000,1223,2015,258500.0,6640500.0
22580006641000,1537,2015,258500.0,6641500.0
22580006642000,356,2015,258500.0,6642500.0
22580006643000,2,2015,258500.0,6643500.0
22580006647000,407,2015,258500.0,6647500.0
22580006648000,2391,2015,258500.0,6648500.0
22580006649000,53,2015,258500.0,6649500.0
22580006650000,2353,2015,258500.0,6650500.0
22580006651000,5377,2015,258500.0,6651500.0
22580006652000,2662,2015,258500.0,6652500.0
22580006653000,3045,2015,258500.0,6653500.0
22580006654000,2929,2015,258500.0,6654500.0
22580006655000,322,2015,258500.0,6655500.0
22580006656000,616,2015,258500.0,6656500.0
22580006657000,46,2015,258500.0,6657500.0
22580006659000,3,2015,258500.0,6659500.0
22580006661000,1,2015,258500.0,6661500.0
22580006662000,7,2015,258500.0,6662500.0
22580006667000,4,2015,258500.0,6667500.0
22590006603000,4,2015,259500.0,6603500.0
22590006604000,4,2015,259500.0,6604500.0
22590006605000,35,2015,259500.0,6605500.0
22590006606000,42,2015,259500.0,6606500.0
22590006607000,242,2015,259500.0,6607500.0
22590006608000,421,2015,259500.0,6608500.0
22590006609000,17,2015,259500.0,6609500.0
22590006610000,107,2015,259500.0,6610500.0
22590006611000,146,2015,259500.0,6611500.0
22590006612000,16,2015,259500.0,6612500.0
22590006613000,29,2015,259500.0,6613500.0
22590006614000,28,2015,259500.0,6614500.0
22590006615000,281,2015,259500.0,6615500.0
22590006616000,414,2015,259500.0,6616500.0
22590006617000,127,2015,259500.0,6617500.0
22590006618000,12,2015,259500.0,6618500.0
22590006619000,11,2015,259500.0,6619500.0
22590006620000,14,2015,259500.0,6620500.0
22590006621000,101,2015,259500.0,6621500.0
22590006622000,38,2015,259500.0,6622500.0
22590006623000,44,2015,259500.0,6623500.0
22590006624000,58,2015,259500.0,6624500.0
22590006625000,17,2015,259500.0,6625500.0
22590006627000,7,2015,259500.0,6627500.0
22590006628000,53,2015,259500.0,6628500.0
22590006629000,25,2015,259500.0,6629500.0
22590006630000,37,2015,259500.0,6630500.0
22590006631000,107,2015,259500.0,6631500.0
22590006632000,23,2015,259500.0,6632500.0
22590006633000,63,2015,259500.0,6633500.0
22590006634000,98,2015,259500.0,6634500.0
22590006635000,15,2015,259500.0,6635500.0
22590006636000,6,2015,259500.0,6636500.0
22590006637000,17,2015,259500.0,6637500.0
22590006648000,640,2015,259500.0,6648500.0
22590006649000,948,2015,259500.0,6649500.0
22590006650000,7320,2015,259500.0,6650500.0
22590006651000,1801,2015,259500.0,6651500.0
22590006652000,3583,2015,259500.0,6652500.0
22590006653000,3026,2015,259500.0,6653500.0
22590006654000,2582,2015,259500.0,6654500.0
22590006655000,307,2015,259500.0,6655500.0
22590006659000,2,2015,259500.0,6659500.0
22590006664000,2,2015,259500.0,6664500.0
22590006671000,1,2015,259500.0,6671500.0
22600006604000,10,2015,260500.0,6604500.0
22600006605000,10,2015,260500.0,6605500.0
22600006606000,13,2015,260500.0,6606500.0
22600006607000,35,2015,260500.0,6607500.0
22600006608000,26,2015,260500.0,6608500.0
22600006610000,31,2015,260500.0,6610500.0
22600006611000,1,2015,260500.0,6611500.0
22600006612000,12,2015,260500.0,6612500.0
22600006613000,22,2015,260500.0,6613500.0
22600006614000,1901,2015,260500.0,6614500.0
22600006615000,950,2015,260500.0,6615500.0
22600006616000,591,2015,260500.0,6616500.0
22600006617000,16,2015,260500.0,6617500.0
22600006618000,12,2015,260500.0,6618500.0
22600006619000,8,2015,260500.0,6619500.0
22600006620000,120,2015,260500.0,6620500.0
22600006621000,245,2015,260500.0,6621500.0
22600006622000,107,2015,260500.0,6622500.0
22600006623000,46,2015,260500.0,6623500.0
22600006624000,8,2015,260500.0,6624500.0
22600006625000,54,2015,260500.0,6625500.0
22600006626000,63,2015,260500.0,6626500.0
22600006627000,10,2015,260500.0,6627500.0
22600006628000,195,2015,260500.0,6628500.0
22600006629000,239,2015,260500.0,6629500.0
22600006630000,193,2015,260500.0,6630500.0
22600006631000,168,2015,260500.0,6631500.0
22600006632000,19,2015,260500.0,6632500.0
22600006633000,4,2015,260500.0,6633500.0
22600006634000,114,2015,260500.0,6634500.0
22600006635000,48,2015,260500.0,6635500.0
22600006636000,5,2015,260500.0,6636500.0
22600006637000,2,2015,260500.0,6637500.0
22600006648000,943,2015,260500.0,6648500.0
22600006649000,10896,2015,260500.0,6649500.0
22600006650000,13883,2015,260500.0,6650500.0
22600006651000,9484,2015,260500.0,6651500.0
22600006652000,2212,2015,260500.0,6652500.0
22600006653000,1405,2015,260500.0,6653500.0
22600006654000,1978,2015,260500.0,6654500.0
22600006655000,75,2015,260500.0,6655500.0
22610006607000,17,2015,261500.0,6607500.0
22610006608000,6,2015,261500.0,6608500.0
22610006609000,27,2015,261500.0,6609500.0
22610006610000,28,2015,261500.0,6610500.0
22610006611000,24,2015,261500.0,6611500.0
22610006612000,21,2015,261500.0,6612500.0
22610006613000,9,2015,261500.0,6613500.0
22610006614000,56,2015,261500.0,6614500.0
22610006615000,102,2015,261500.0,6615500.0
22610006616000,8,2015,261500.0,6616500.0
22610006617000,22,2015,261500.0,6617500.0
22610006618000,1,2015,261500.0,6618500.0
22610006619000,43,2015,261500.0,6619500.0
22610006620000,102,2015,261500.0,6620500.0
22610006621000,606,2015,261500.0,6621500.0
22610006622000,20,2015,261500.0,6622500.0
22610006623000,21,2015,261500.0,6623500.0
22610006624000,43,2015,261500.0,6624500.0
22610006625000,39,2015,261500.0,6625500.0
22610006626000,48,2015,261500.0,6626500.0
22610006627000,24,2015,261500.0,6627500.0
22610006628000,352,2015,261500.0,6628500.0
22610006629000,1587,2015,261500.0,6629500.0
22610006630000,364,2015,261500.0,6630500.0
22610006632000,11,2015,261500.0,6632500.0
22610006634000,77,2015,261500.0,6634500.0
22610006635000,31,2015,261500.0,6635500.0
22610006637000,7,2015,261500.0,6637500.0
22610006638000,11,2015,261500.0,6638500.0
22610006639000,8,2015,261500.0,6639500.0
22610006646000,1,2015,261500.0,6646500.0
22610006648000,48,2015,261500.0,6648500.0
22610006649000,1093,2015,261500.0,6649500.0
22610006650000,16413,2015,261500.0,6650500.0
22610006651000,13325,2015,261500.0,6651500.0
22610006652000,4122,2015,261500.0,6652500.0
22610006653000,2493,2015,261500.0,6653500.0
22610006654000,2203,2015,261500.0,6654500.0
22610006655000,1668,2015,261500.0,6655500.0
22610006660000,4,2015,261500.0,6660500.0
22620006611000,41,2015,262500.0,6611500.0
22620006612000,97,2015,262500.0,6612500.0
22620006613000,19,2015,262500.0,6613500.0
22620006614000,5,2015,262500.0,6614500.0
