UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
1320,1271,1140,1271,1140,1320,1320,1320,1320
656,656,656,656,656,2350,656,656,656
704,624,624,704,624,624,624,624,704
702,702,702,702,1163,1379,702,702,702
885,685,685,847,885,757,742,742,757
610,610,610,610,610,1499,831,831,610
778,778,778,778,1507,2081,778,778,1507
391,391,391,912,549,210,549,549,391
1040,677,472,1431,1040,242,677,677,987
694,694,694,694,694,694,579,579,694
1003,1003,1003,1003,1003,1391,1092,274,1003
202,202,202,202,202,202,202,202,202
590,590,590,590,590,3548,590,590,590
475,496,496,883,496,475,475,475,475
1625,1625,1625,1625,1625,1625,1625,1625,1625
1157,1157,1391,569,1157,2502,1157,569,1157
2156,2176,1995,1995,2176,1995,1995,1995,2176
613,660,660,660,660,662,660,660,660
2161,2161,2161,2161,2741,3315,2161,2161,2741
855,855,855,855,855,1029,855,855,855
366,366,366,366,366,411,366,366,366
1765,1765,1765,1765,1765,2805,1765,1765,1765
1662,1662,1662,650,650,2827,1662,1662,1662
835,608,608,593,608,593,608,608,608
318,318,318,318,318,424,424,424,318
419,419,419,523,419,952,419,419,419
915,915,915,915,987,1125,827,827,827
1293,1293,1293,1293,1293,1855,1697,1293,1293
675,375,375,675,375,795,375,375,675
533,533,533,533,925,1314,533,533,925
501,501,501,501,501,1363,501,501,501
1002,1002,1002,414,414,2185,1002,414,1002
619,619,619,619,1076,487,619,619,619
491,491,491,491,491,749,491,491,491
559,559,559,559,559,1270,559,559,559
717,717,717,717,717,713,717,717,717
486,486,369,369,369,638,369,369,369
931,931,931,931,931,932,932,931,931
453,453,453,453,453,1798,453,453,453
801,801,801,801,801,1105,801,801,801
746,746,746,746,746,908,746,746,746
745,745,650,745,650,1094,650,650,745
663,663,431,663,431,974,431,431,663
863,722,722,722,722,1244,863,722,722
435,713,435,713,435,1196,713,713,435
512,512,512,512,1167,1686,512,512,512
755,755,755,755,755,848,755,755,755
984,984,877,984,877,1208,877,877,984
794,794,794,794,941,1240,794,794,794
541,541,541,541,541,768,541,541,541
739,739,1095,1095,1095,1359,739,487,739
671,671,671,671,671,1550,1258,1057,671
228,228,228,228,362,960,228,228,638
869,869,869,869,869,1222,869,869,869
564,564,383,564,564,383,383,383,383
776,776,776,776,776,2186,776,776,776
915,915,915,915,915,2424,915,915,915
395,395,395,395,395,1699,395,395,395
441,386,386,441,441,386,386,386,386
443,443,443,443,612,1055,612,443,443
373,261,261,373,373,488,261,261,261
334,334,334,334,334,334,334,334,334
275,275,275,275,275,1225,275,275,275
999,1072,999,999,999,1474,999,1072,999
242,242,242,242,242,535,242,242,242
441,441,441,441,441,972,754,441,441
492,492,492,492,492,492,492,492,492
220,220,220,220,220,750,220,220,220
904,885,641,904,904,904,904,904,904
