UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
2028,2316,2028,2244,2244,2003,2028,2316,2028
542,639,203,495,500,203,203,203,500
2131,2258,2258,2131,2131,2803,2258,2131,2258
1880,1880,1880,1880,1880,2036,1905,1880,1880
1449,1449,1449,1449,1449,2646,1449,1449,1449
1213,1213,1213,1180,1213,1213,1213,1427,1213
1613,1675,1613,778,1369,1235,778,1675,1369
747,747,522,247,522,353,247,1045,247
788,615,615,615,615,1101,615,615,615
814,1176,814,420,814,420,589,1315,589
3395,3400,3395,2041,2446,2572,3395,2446,2579
837,837,837,837,1082,938,837,837,1082
848,848,2774,848,2494,3066,2774,2773,2774
486,486,657,486,486,887,657,486,486
800,800,800,800,800,800,800,800,800
889,889,889,889,889,1529,889,629,889
534,534,837,220,220,1041,837,534,837
844,844,844,844,807,1166,844,844,844
550,610,679,679,550,679,679,610,679
652,954,954,954,954,996,954,954,954
737,740,740,740,599,869,740,599,599
5158,5158,5158,5158,5158,6462,5158,5158,5158
928,1612,1250,1250,996,1335,1250,372,1250
1361,1361,1361,1361,1361,2804,1361,1361,1361
653,701,778,653,653,827,653,701,653
2074,1152,1152,2074,2074,2074,1152,1152,2074
4302,4337,4302,4225,4302,4178,4225,4337,4302
542,542,580,580,580,1459,580,580,580
1092,1092,1092,1092,1092,1092,1092,1332,1092
2612,2612,2612,2612,2612,2964,2612,2612,2612
4844,4844,4844,4844,4844,5426,4844,4844,5174
581,581,581,581,581,1334,581,581,581
717,542,361,361,361,361,361,601,361
328,328,360,360,360,328,360,360,360
616,722,616,675,616,722,675,964,675
706,527,290,290,290,701,290,615,290
1082,1082,1082,1082,1082,1268,1082,1082,1082
2018,2018,2018,2018,2018,1904,2018,2308,2018
856,1048,822,587,822,421,822,822,856
1578,1894,1578,1578,609,547,1578,1578,1532
3805,4199,3805,3805,3602,3095,3805,3805,3602
4976,5135,4970,4976,5181,4976,4970,5181,4976
2786,2786,2786,2786,2786,4468,2786,2786,2786
1510,1510,1510,1510,1510,2691,1510,2195,1510
4254,4266,4254,4254,1795,3093,4254,4254,3747
1282,2882,2882,2882,1282,2293,2882,1282,1282
1602,1602,1602,1602,1602,4555,1602,1602,1602
675,525,675,448,406,724,724,724,724
730,730,730,1560,730,2179,730,730,730
4024,5655,4024,4024,4024,5655,4024,5338,4024
423,423,423,423,423,423,423,423,423
3852,3136,3137,3130,3137,3130,3130,3130,3137
517,517,615,517,596,517,517,364,364
5558,4708,5143,4708,4153,4708,4920,4369,4212
6246,6111,4603,3661,3958,3795,4431,3661,2993
2824,2896,2824,2896,2945,2945,2896,3049,2896
6895,6805,5280,4623,4558,4316,5280,4623,4623
3348,3348,3019,1282,1282,2284,3019,1282,1416
2343,2343,2343,2343,2343,2013,3908,2343,2343
826,826,3720,3555,826,1537,826,3225,3225
1660,2208,1849,1849,1239,1203,1239,3870,2208
841,2143,2143,1645,841,1645,841,1645,2143
1514,853,853,1818,1514,1818,1818,1818,853
1298,1298,1043,1296,1319,2385,1298,1433,1761
1259,1421,1421,1230,1421,1421,1230,1421,1313
763,763,763,803,864,506,845,763,942
299,1145,1145,299,299,1507,299,1020,299
620,535,535,535,620,832,535,535,620
683,488,488,488,854,1450,488,488,1084
1505,1650,1376,1272,1505,1376,1631,1505,1280
1157,1157,1157,1157,1157,1157,1157,1157,1157
1118,1200,1118,1175,1089,937,1175,1118,1175
609,618,330,330,330,1011,330,330,556
511,663,441,441,511,750,441,672,441
820,767,767,767,820,767,767,1056,1379
1073,1217,1073,1073,1145,1073,1073,1136,1073
1243,1243,1243,869,1243,1465,595,933,869
1398,1701,1609,1398,1398,1404,1398,1609,1398
1552,1552,1327,1327,1327,3091,1327,1552,1290
990,1245,1148,1148,990,809,1049,990,809
327,327,327,327,327,327,327,327,327
1551,1633,1676,1605,1551,1818,1569,1227,1491
1488,1488,1549,1488,1488,1549,1488,1549,1549
823,823,823,823,1799,2662,823,823,1799
297,297,297,297,297,297,297,297,297
916,916,1152,662,908,1015,662,916,916
1936,1859,2781,2705,2781,2218,2392,2781,3173
735,642,735,735,735,735,735,735,735
2120,2120,2120,2120,2120,2120,2120,2120,2120
670,670,374,670,832,1002,670,670,670
631,631,631,631,631,631,631,631,631
373,373,373,373,373,1734,373,373,373
597,724,597,597,597,808,597,597,597
727,727,727,727,727,3596,727,727,727
654,654,654,654,654,1323,654,1269,654
313,313,313,313,313,313,313,313,313
569,569,514,514,514,514,569,569,514
1114,1074,1114,1074,1074,1490,1114,1074,1114
442,442,442,442,442,781,442,442,442
764,764,764,764,764,764,764,764,764
442,442,442,442,576,576,442,667,442
999,999,999,999,960,1046,999,999,999
149,149,149,726,149,691,149,149,149
732,732,732,732,732,1325,732,732,732
344,344,344,344,344,450,344,344,450
706,454,454,706,454,1250,454,454,706
782,782,1763,782,880,3667,782,782,782
852,852,852,852,852,2467,852,852,852
490,490,490,490,443,490,443,490,490
1468,1468,1468,1468,1468,1695,1468,1468,1468
944,944,1012,944,944,1783,944,944,1012
326,326,326,326,326,635,326,326,326
684,684,684,684,684,1865,684,684,684
664,664,664,664,664,664,664,664,664
337,337,337,337,337,337,337,337,337
614,589,589,589,589,615,614,589,589
1154,614,614,1154,1154,2194,1154,1154,1154
520,520,520,520,520,1180,520,977,520
192,192,192,192,192,298,192,192,192
1306,1306,1306,1424,1306,1862,1306,1306,1306
1525,1525,1550,1525,1525,2196,1525,1525,1550
999,999,999,999,999,999,999,999,999
628,628,447,447,447,447,628,628,447
1023,1023,1023,1023,1023,2136,1023,1023,1023
568,568,509,509,509,328,509,509,328
506,506,506,424,424,849,506,849,506
791,916,791,758,758,737,791,791,791
385,385,385,385,385,385,385,385,385
1340,1340,1340,1340,1340,1638,1340,1340,1340
226,226,226,226,226,791,226,226,226
348,348,702,348,348,1646,348,348,348
465,465,465,465,465,1327,465,465,465
437,1060,1060,1060,1060,1634,1060,1060,437
450,450,450,450,450,1080,450,450,450
833,833,833,833,833,2289,833,1396,833
521,521,521,521,521,1383,521,521,521
539,539,539,539,539,795,539,556,539
945,945,945,945,945,1171,1030,945,945
518,518,518,518,518,518,518,518,518
495,495,495,495,495,495,495,495,495
882,882,882,882,882,1179,882,882,882
681,681,589,589,589,589,589,681,589
632,632,632,632,632,1746,632,632,632
376,622,376,376,376,715,376,622,376
853,853,853,853,853,1000,853,853,853
526,545,497,497,296,296,497,545,296
408,408,347,347,347,408,347,408,347
945,1142,675,675,945,1417,675,945,675
734,734,734,734,734,1744,734,734,734
543,543,543,543,543,730,543,543,543
1216,1216,1216,1216,1216,1265,1264,1216,1264
483,483,483,483,371,579,483,483,483
293,293,293,293,293,293,293,293,293
616,616,616,616,346,821,346,616,346
753,753,568,568,499,568,568,753,568
550,870,550,550,550,986,870,1177,550
819,1021,819,819,819,821,819,1021,763
905,905,905,905,735,1102,905,905,735
506,506,506,506,506,1606,506,506,506
840,840,840,840,840,1540,840,840,840
728,728,728,728,728,1076,728,728,728
408,408,408,408,408,2347,408,408,408
1046,1046,1046,1133,1133,1153,1046,1046,1046
824,824,824,824,824,2779,824,824,824
247,247,654,654,654,628,247,451,247
869,869,869,869,869,869,869,869,869
1062,1062,1062,1062,1062,1063,1062,1062,1062
572,572,572,572,572,1769,572,572,572
804,973,973,1027,973,1141,973,1141,973
1014,840,1014,1350,1014,1330,840,1350,1014
621,621,621,621,621,759,621,621,621
1764,1764,1365,1365,1365,1795,1365,1764,1365
812,812,812,812,812,1365,812,812,890
1742,1742,1742,1742,1742,2828,1742,1742,1742
560,800,560,560,560,696,560,800,560
457,457,457,457,457,506,457,457,457
819,909,819,819,819,819,819,819,819
1159,625,625,625,625,1203,625,625,1159
519,524,519,519,519,675,524,519,519
772,902,689,689,549,780,689,902,772
312,312,312,1150,1150,1493,312,1150,312
223,467,223,223,223,486,467,467,467
647,647,647,647,487,647,647,647,647
550,550,550,550,550,656,550,550,550
1401,1161,1161,1161,1161,1161,1161,1401,1161
722,722,722,722,722,2416,722,722,722
1882,1882,1882,1882,1882,1882,1882,1882,1882
369,369,369,369,369,1603,369,369,369
1073,1073,1932,1073,1932,2289,1932,1073,1932
818,818,818,818,818,1423,818,818,818
994,994,994,994,994,994,994,994,994
2734,2734,2734,2734,2734,2927,2734,2734,2734
471,471,471,471,471,1737,471,471,471
281,281,281,281,281,812,281,281,594
664,664,664,664,664,1406,664,664,664
1121,1320,1121,1121,1055,1056,1056,1121,1056
1529,1529,1529,1529,2793,3574,1529,1529,1529
333,633,333,333,333,957,333,633,333
4743,4743,4743,4743,4527,4527,4743,4743,4743
540,838,517,540,361,399,517,838,361
2613,2816,2531,2531,2041,2394,2531,2816,2041
390,390,390,390,390,1791,390,1111,390
2887,2887,2655,2887,2655,3198,2655,2887,2887
1161,1546,1161,1161,1161,1690,1161,1161,1161
762,445,762,762,572,827,572,445,572
580,580,580,580,580,580,580,580,580
1867,1867,1867,1867,1645,1867,1867,1867,1867
810,728,810,810,810,1148,810,728,810
552,552,552,552,552,891,552,552,552
290,290,290,290,290,823,290,290,394
492,556,492,492,332,492,492,492,492
2110,2110,2110,2110,2110,2375,2110,2110,2110
913,699,699,699,699,699,699,913,699
565,638,451,451,451,451,451,565,451
1277,1277,1277,1277,1277,1470,1277,1277,1277
865,865,865,865,966,1094,865,991,865
1410,1446,1410,1410,1101,1101,1410,1449,1101
465,465,473,473,465,812,465,465,473
1417,1417,1386,1386,1417,1456,1386,1456,1417
1167,1269,883,883,910,1269,883,910,1167
1159,1468,1060,1060,820,820,1060,1522,820
1148,1227,936,1148,740,500,839,1460,740
530,530,530,530,530,418,530,530,530
2267,2267,2267,2267,2267,2267,2267,2267,2267
2828,3009,2828,2828,3009,2828,2828,2828,2828
709,709,709,709,709,828,709,709,709
698,698,698,698,698,3601,698,698,698
330,330,330,330,330,330,330,330,330
575,624,624,624,600,600,624,575,624
2051,2051,2051,2051,2051,2533,2051,2051,2051
752,752,752,752,752,2137,752,752,752
1204,1204,1204,1204,1204,1565,1204,1204,1204
707,707,707,707,707,716,650,707,650
726,726,726,726,726,1558,726,726,726
482,482,482,482,482,1679,482,482,482
1193,1245,1193,1193,1193,1420,1193,1193,1193
1034,893,1034,1034,1034,1374,1034,893,1034
1605,1605,798,798,1605,2082,798,1605,1605
1682,1682,1682,1682,1682,2059,1682,1682,1682
652,652,652,652,652,713,652,652,652
323,323,323,323,323,323,323,323,323
1297,1297,1297,1297,1297,1144,1297,1297,1297
486,486,305,305,305,305,305,486,305
842,842,842,842,842,1174,842,842,920
553,790,481,481,481,481,481,790,481
486,486,486,486,486,921,486,486,486
958,958,892,892,892,893,892,958,892
435,435,435,435,435,1042,435,435,435
1273,1273,1273,1273,1273,2470,1273,1273,1273
791,848,791,791,791,863,791,997,791
2093,2093,2093,2093,2093,2518,2093,2093,2093
444,444,444,444,444,444,444,444,444
747,1304,1132,747,747,1092,747,803,1092
777,896,632,464,464,633,584,632,464
1064,1064,1072,1064,419,640,419,697,697
1382,1382,923,765,765,584,765,923,1232
654,654,1100,1100,941,654,653,654,654
836,836,836,836,836,2791,836,836,836
1069,1069,1069,401,401,1069,1301,1069,1069
981,981,775,775,775,1221,775,775,775
1200,1200,1095,1200,1200,1279,1095,1200,1200
305,305,305,305,305,3087,305,305,305
2217,1477,1555,1555,1555,2691,1555,2217,1555
850,850,850,850,850,850,850,850,850
1113,1113,1113,1113,1113,1162,1113,1113,1113
1397,812,1393,1393,1153,1537,866,1410,1410
722,722,722,1451,722,2025,722,1451,722
958,981,981,958,958,1851,958,958,981
1260,1260,1260,1260,1260,1433,1260,1260,1260
1675,1675,1675,1675,1675,1646,1675,1675,1723
813,813,694,813,694,813,761,694,694
976,976,976,835,835,1316,976,976,976
638,695,935,638,638,935,638,638,935
2297,2871,1674,2338,2297,2871,2338,2338,2871
780,780,780,780,528,800,528,528,800
1444,1444,1444,1444,1444,1444,1444,1444,1444
1547,1547,1547,1547,2807,3332,1547,2807,2813
545,635,545,545,545,545,545,545,545
832,1299,832,832,651,651,832,651,832
1688,1688,1688,1688,1688,2322,1688,1688,1688
1209,1209,1209,1209,1209,3807,1209,1209,1209
914,914,914,515,515,1228,515,1147,914
987,987,987,709,913,1470,987,709,987
564,1030,564,905,564,1238,564,564,564
456,456,456,456,456,2012,456,456,456
695,695,1935,1935,1953,2128,1953,695,1953
